               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029386,           0.0068188,                   0,             0.86323,             0.90805,             0.92069,             0.47678,            0.035657,           0.0051786,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.027657,           0.0072078,                   0,             0.86774,             0.90805,             0.92772,             0.51848,            0.034555,           0.0052132,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028445,           0.0073455,                   0,             0.82672,             0.95402,             0.93893,             0.50921,            0.035271,           0.0052474,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026976,            0.007353,                   0,             0.83621,             0.93103,             0.93507,             0.49923,            0.034924,           0.0051201,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.027456,           0.0070954,                   0,             0.84423,             0.89655,             0.91812,             0.50215,            0.033684,            0.005169,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.02647,           0.0070303,                   0,             0.90974,             0.83908,             0.93333,             0.50356,             0.03349,           0.0053169,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.025467,           0.0067816,                   0,             0.87949,             0.83888,             0.89102,             0.50802,            0.033797,           0.0054356,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026054,           0.0067867,                   0,             0.86927,             0.86207,             0.89861,             0.51049,            0.033849,           0.0055752,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.026688,           0.0071892,                   0,             0.94984,             0.82759,             0.92656,             0.50937,            0.034725,           0.0054215,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025118,           0.0070297,                   0,             0.90197,             0.84606,             0.92455,             0.52725,            0.033894,            0.005326,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025105,           0.0071422,                   0,             0.91438,             0.85929,              0.9208,             0.51049,             0.03502,           0.0053634,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.023652,           0.0070795,                   0,             0.91634,             0.88128,             0.93535,             0.52169,            0.034014,           0.0052678,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024517,           0.0068762,                   0,             0.89439,              0.8761,              0.9214,             0.52047,            0.034533,           0.0052019,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024223,           0.0064988,                   0,             0.91954,              0.9195,             0.94646,              0.5289,            0.034171,           0.0052098,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025395,           0.0074088,                   0,              0.9066,             0.89265,             0.92657,             0.52413,             0.03488,           0.0052874,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025268,            0.006502,                   0,             0.89473,             0.90805,             0.93612,             0.50839,            0.034595,           0.0054441,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025228,           0.0065785,                   0,             0.91995,             0.88506,             0.92198,             0.50934,            0.034737,            0.005404,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024281,           0.0066287,                   0,             0.89392,             0.87174,             0.88817,             0.50402,            0.034471,           0.0053071,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.023452,           0.0066776,                   0,             0.88488,             0.88506,             0.89965,             0.49512,            0.034917,           0.0053091,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023058,           0.0065147,                   0,             0.89426,             0.87488,             0.92152,             0.51506,            0.034061,           0.0052738,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023501,           0.0064512,                   0,             0.90214,             0.84769,             0.91645,             0.53206,            0.033725,           0.0052088,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023507,           0.0063375,                   0,             0.91541,             0.82759,             0.91749,             0.51103,            0.034219,            0.005188,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.023095,           0.0059905,                   0,             0.86307,             0.86939,             0.90706,             0.50034,            0.036077,           0.0053277,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023567,           0.0067121,                   0,             0.92471,             0.84703,             0.91791,             0.50577,            0.035704,           0.0053636,                   0,             0.00406,             0.00406,             0.00406
